Index,Quantity,Part Number,Manufacturer Part Number,Description,Customer Reference,Available,Backorder,Unit Price,Extended Price CAD
1,10,478-KGM21ER71H124KUCT-ND,KGM21ER71H124KU,CAP CER 0.12UF 50V X7R 0805,,10,0,0.176,1.76
2,10,311-1.50KCRCT-ND,RC0805FR-071K5L,RES 1.5K OHM 1% 1/8W 0805,,10,0,0.053,0.53
3,10,1276-1003-1-ND,CL21B104KBCNNNC,CAP CER 0.1UF 50V X7R 0805,,10,0,0.056,0.56
4,10,311-10.0KCRCT-ND,RC0805FR-0710KL,RES 10K OHM 1% 1/8W 0805,,10,0,0.053,0.53
5,10,490-GRM155R60J106ME05DCT-ND,GRM155R60J106ME05D,CAP CER 10UF 6.3V X5R 0402,,10,0,0.031,0.31
6,10,1276-1029-1-ND,CL21B105KBFNNNE,CAP CER 1UF 50V X7R 0805,,10,0,0.094,0.94
7,10,311-2.2KARCT-ND,RC0805JR-072K2L,RES 2.2K OHM 5% 1/8W 0805,,10,0,0.05,0.5
8,10,1276-1244-1-ND,CL21A475KAQNNNE,CAP CER 4.7UF 25V X5R 0805,,10,0,0.089,0.89
9,1,828-1058-1-ND,BNO055,IMU ACCEL/GYRO/MAG I2C 28LGA,,1,0,20,20
10,10,160-1426-1-ND,LTST-C171KGKT,LED GREEN CLEAR SMD,,10,0,0.125,1.25
11,10,160-1415-1-ND,LTST-C170KRKT,LED RED CLEAR SMD,,10,0,0.137,1.37
12,1,MLX90640ESF-BAA-000-SP-ND,MLX90640ESF-BAA-000-SP,SENSOR DGTL -40C-85C TO39,,1,0,59.89,59.89
13,10,5399-RB521S-30CT-ND,RB521S-30,30V INDEPENDENT TYPE 500MV@200MA,,10,0,0.072,0.72
14,1,1649-1011-1-ND,SHT31-DIS-B2.5KS,SENSOR HUMID/TEMP 5V I2C 2% SMD,,1,0,7.02,7.02
15,1,F2897CT-ND,SP1001-05JTG,TVS DIODE 5.5VWM 13VC SC706,,1,0,1.61,1.61
16,1,751-VEML7700-TTCT-ND,VEML7700-TT,SENSOR OPT AMBIENT 4 SMD J LEAD,,1,0,2,2
17,1,893-XC6206P332MR-GCT-ND,XC6206P332MR-G,IC REG LINEAR 3.3V 200MA SOT23,,1,0,0.97,0.97
18,2,2057-PH1RB-20-UA-ND,PH1RB-20-UA,CONN HEADER R/A 20POS 2.54MM,,2,0,0.78,1.56
19,10,541-4168-1-ND,CRCW0805330RJNEAC,RES SMD 330 OHM 5% 1/8W 0805,,10,0,0.051,0.51
,,,,,,,,,
,CAD,,,,,,,,
SUBTOTAL,$102.92,,,,,,,,
SHIPPING,FREE,,,,,,,,
HST,13.38,,,,,,,,
TOTAL,$116.30,CAD,,,,,,,
,$83.45,USD,,,,,,,
,,,,,,,,,
,,,,,,,,,
PCB + STENCIL,6.74,,,,,,,,
SHIPPING,9.01,,,,,,,,
TOTAL,15.75,USD,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
GRAND TOTAL,$99.20,USD,,,,,,,